cell_id,longitude,latitude
c00000,-46.9922,-22.8207
c00001,-46.9298,-23.8346
c00002,-46.8299,-23.6522
c00003,-46.5457,-23.4802
c00004,-46.6204,-23.5195
c00005,-46.4998,-23.5108
c00006,-43.273,-22.8779
c00007,-46.5466,-23.4716
c00008,-46.3727,-23.9436
c00009,-46.52,-23.4718
c00010,-46.62,-23.536
c00011,-46.7546,-23.6086
c00012,-46.4917,-23.4197
c00013,-46.4173,-23.4418
c00014,-45.9425,-23.3075
c00015,-47.1756,-22.8341
c00016,-46.8353,-23.5289
c00017,-43.2977,-22.9234
c00018,-46.0666,-23.3998
c00019,-43.1903,-22.9562
c00020,-46.5019,-23.4797
c00021,-46.7213,-23.6683
c00022,-46.5433,-23.5362
c00023,-46.422,-23.4664
c00024,-46.4486,-23.6642
c00025,-47.1127,-22.984
c00026,-46.3353,-22.8615
c00027,-46.5285,-23.6515
c00028,-46.5478,-23.6676
c00029,-44.9561,-23.366
c00030,-46.7057,-23.6162
c00031,-46.8369,-23.5103
c00032,-46.8441,-23.7052
c00033,-46.7109,-23.6474
c00034,-46.719,-23.6351
c00035,-43.1641,-22.9511
c00036,-46.537,-23.6376
c00037,-46.0434,-23.3482
c00038,-46.748,-23.5575
c00039,-43.1909,-22.9786
c00040,-46.5724,-23.5079
c00041,-46.1839,-23.514
c00042,-46.5832,-23.3167
c00043,-46.5912,-23.5946
c00044,-46.7523,-23.531
c00045,-46.3437,-23.5707
c00046,-45.8986,-23.3119
c00047,-46.5987,-23.7393
c00048,-45.3509,-23.2122
c00049,-46.5464,-23.4642
c00050,-46.6368,-23.5982
c00051,-46.6293,-23.6324
c00052,-46.7093,-23.5101
c00053,-46.6453,-23.5186
c00054,-46.6071,-23.7083
c00055,-43.2107,-22.9603
c00056,-46.572,-23.5084
c00057,-46.5301,-23.6558
c00058,-46.4695,-23.9603
c00059,-47.3206,-23.2628
c00060,-43.1797,-22.9506
c00061,-46.4219,-23.17
c00062,-46.3312,-23.4533
c00063,-43.2784,-22.9686
c00064,-46.7726,-23.5208
c00065,-46.8857,-23.1936
c00066,-46.7197,-23.636
c00067,-46.5917,-23.7638
c00068,-46.1951,-23.5203
c00069,-46.3478,-23.9301
c00070,-46.697,-23.5692
c00071,-46.697,-23.623
c00072,-46.7834,-23.5242
c00073,-47.3099,-23.2347
c00074,-46.6963,-23.6047
c00075,-46.6525,-23.6073
c00076,-46.85,-23.6154
c00077,-46.5446,-23.5148
c00078,-43.2359,-22.9917
c00079,-46.6104,-23.5265
c00080,-46.4676,-23.6666
c00081,-47.0169,-22.8875
c00082,-46.6623,-23.5802
c00083,-43.1776,-22.9031
c00084,-43.2217,-22.9687
c00085,-46.7161,-23.6322
c00086,-46.7826,-23.5197
c00087,-46.5362,-23.5281
c00088,-47.1373,-22.8453
c00089,-45.8146,-23.2591
c00090,-46.316,-23.9402
c00091,-46.3696,-23.936
c00092,-46.8924,-23.7287
c00093,-46.5635,-23.5381
c00094,-46.5657,-23.5461
c00095,-46.775,-23.5202
c00096,-46.3163,-23.5312
c00097,-46.927,-23.2024
c00098,-46.5271,-23.4633
c00099,-46.4846,-23.4672
c00100,-46.9285,-23.1645
c00101,-46.3134,-23.9493
c00102,-47.0169,-23.934
c00103,-46.8594,-23.1144
c00104,-46.3829,-23.9363
c00105,-45.27,-23.5658
c00106,-46.1629,-23.2047
c00107,-46.6936,-23.5984
c00108,-46.8233,-23.3236
c00109,-43.317,-23.0064
c00110,-46.5968,-23.6292
c00111,-45.879,-23.2264
c00112,-46.4941,-23.4294
c00113,-46.7737,-23.5243
c00114,-47.3256,-22.6494
c00115,-46.3325,-23.9345
c00116,-47.1795,-23.0872
c00117,-46.4046,-23.8531
c00118,-46.717,-23.563
c00119,-46.7026,-23.5671
c00120,-46.9098,-23.1607
